Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,3PAr,SOS,Momentum,Intuition
Columbia,,110.0,,,,70.0,0.541,,15.3,,51.7,0.386,-3.72,,0.0
Connecticut,,123.3,,,,66.0,0.569,,12.3,,56.3,0.402,8.7,,0.0
nan,,,,,,,,,,,,,,,0.0
Coppin State,,85.1,,,,67.4,0.421,,20.1,,43.5,0.344,-6.49,,0.0
Cornell,,114.2,,,,71.9,0.572,,15.0,,49.9,0.486,-1.59,,0.0
Creighton,,116.2,,,,67.6,0.573,,13.7,,53.1,0.485,9.53,,0.0
Dartmouth,,93.3,,,,66.3,0.477,,17.3,,48.9,0.433,-1.31,,0.0
Davidson,,104.7,,,,65.9,0.496,,13.9,,49.6,0.412,3.3,,0.0
Dayton,,114.1,,,,64.8,0.563,,14.3,,50.6,0.443,5.73,,0.0
Delaware,,107.8,,,,67.7,0.524,,14.0,,50.9,0.354,-4.3,,0.0
Delaware State,,98.7,,,,70.2,0.474,,17.8,,51.6,0.252,-7.58,,0.0
Denver,,111.9,,,,71.1,0.52,,12.1,,49.2,0.402,-4.82,,0.0
DePaul,,94.7,,,,68.4,0.481,,18.0,,44.9,0.348,10.8,,0.0
Detroit Mercy,,96.2,,,,68.0,0.473,,17.1,,44.6,0.369,-2.62,,0.0
Drake,,113.9,,,,68.4,0.549,,12.3,,51.2,0.394,1.84,,0.0
Drexel,,110.4,,,,65.7,0.514,,13.8,,55.6,0.333,-3.64,,0.0
Duke,,117.1,,,,67.1,0.546,,12.4,,53.7,0.375,8.36,,0.0
Duquesne,,105.5,,,,66.9,0.503,,15.1,,50.4,0.389,4.68,,0.0
East Carolina,,104.5,,,,65.8,0.479,,13.9,,50.3,0.366,1.32,,0.0
East Tennessee State,,103.5,,,,68.8,0.47,,14.9,,51.8,0.411,-2.74,,0.0
East Texas A&M,,100.8,,,,68.7,0.487,,14.5,,45.6,0.462,-5.19,,0.0
Eastern Illinois,,101.0,,,,68.2,0.467,,13.1,,49.9,0.287,-6.5,,0.0
Eastern Kentucky,,112.0,,,,71.8,0.521,,13.4,,52.3,0.34,-4.49,,0.0
nan,,,,,,,,,,,,,,,0.0
Eastern Michigan,,98.3,,,,66.4,0.478,,15.0,,48.6,0.321,-5.07,,0.0
Eastern Washington,,113.6,,,,70.9,0.578,,16.7,,51.8,0.42,-2.99,,0.0
Elon,,107.5,,,,68.0,0.52,,15.1,,49.0,0.423,-5.46,,0.0
Evansville,,101.1,,,,69.6,0.506,,14.9,,48.6,0.345,0.75,,0.0
Fairfield,,109.6,,,,68.9,0.523,,13.5,,48.8,0.425,-6.53,,0.0
FDU,,102.4,,,,73.6,0.486,,14.9,,48.3,0.404,-9.27,,0.0
Florida,,115.1,,,,73.1,0.518,,13.1,,54.1,0.345,8.81,,0.0
Florida A&M,,94.5,,,,69.9,0.484,,18.9,,48.6,0.295,-4.19,,0.0
Florida Atlantic,,116.2,,,,69.1,0.547,,13.8,,52.8,0.391,4.61,,0.0
Florida Gulf Coast,,106.9,,,,65.6,0.524,,15.0,,51.3,0.387,-3.94,,0.0
Florida International,,101.8,,,,72.1,0.507,,16.5,,44.9,0.416,-2.17,,0.0
Florida State,,105.7,,,,72.2,0.503,,14.3,,47.5,0.316,9.27,,0.0
Fordham,,99.8,,,,69.3,0.467,,15.5,,50.7,0.422,1.48,,0.0
Fresno State,,101.0,,,,66.0,0.516,,16.8,,47.5,0.385,3.5,,0.0
Furman,,109.9,,,,71.2,0.521,,14.2,,51.3,0.481,-1.93,,0.0
Gardner-Webb,,103.5,,,,70.2,0.498,,14.2,,51.2,0.362,-1.73,,0.0
George Mason,,109.2,,,,65.0,0.523,,15.7,,53.3,0.37,1.85,,0.0
George Washington,,106.2,,,,70.4,0.518,,15.2,,49.5,0.419,-0.06,,0.0
Georgetown,,104.3,,,,67.4,0.486,,15.2,,50.1,0.41,7.72,,0.0
Georgia,,105.4,,,,70.6,0.498,,14.0,,48.4,0.402,8.63,,0.0
nan,,,,,,,,,,,,,,,0.0
Georgia Southern,,103.5,,,,70.1,0.508,,16.3,,47.3,0.445,-2.53,,0.0
Georgia State,,107.4,,,,70.6,0.495,,11.9,,49.3,0.365,-2.59,,0.0
Georgia Tech,,102.5,,,,68.2,0.487,,15.2,,51.8,0.405,8.82,,0.0
Gonzaga,,121.1,,,,69.8,0.574,,12.1,,55.0,0.312,4.02,,0.0
Grambling,,100.1,,,,66.9,0.487,,17.0,,49.0,0.28,-5.48,,0.0
Grand Canyon,,112.9,,,,69.8,0.521,,15.0,,53.1,0.363,-0.52,,0.0
Green Bay,,106.0,,,,64.6,0.53,,16.2,,50.4,0.482,-4.07,,0.0
Hampton,,101.4,,,,70.8,0.484,,15.2,,49.8,0.377,-5.29,,0.0
Harvard,,102.9,,,,67.8,0.505,,15.7,,48.6,0.393,-2.08,,0.0
Hawaii,,106.1,,,,67.4,0.53,,16.3,,51.5,0.422,-2.57,,0.0
High Point,,119.4,,,,69.3,0.531,,13.3,,55.9,0.406,-4.83,,0.0
Hofstra,,111.0,,,,66.6,0.557,,14.0,,48.2,0.464,-1.98,,0.0
Holy Cross,,101.2,,,,65.4,0.506,,14.9,,48.0,0.379,-7.87,,0.0
Houston,,113.6,,,,64.1,0.503,,11.4,,52.3,0.368,9.8,,0.0
Houston Christian,,97.0,,,,73.4,0.475,,17.8,,49.2,0.279,-3.89,,0.0
Howard,,106.5,,,,69.4,0.522,,18.9,,52.8,0.392,-8.02,,0.0
Idaho,,102.6,,,,65.9,0.51,,15.4,,48.2,0.408,-4.69,,0.0
Idaho State,,106.7,,,,64.9,0.517,,14.5,,51.5,0.349,-5.11,,0.0
Illinois,,118.2,,,,70.1,0.536,,12.6,,55.2,0.385,9.54,,0.0
Illinois State,,101.9,,,,65.3,0.479,,14.9,,51.1,0.38,0.43,,0.0
nan,,,,,,,,,,,,,,,0.0
Illinois-Chicago,,100.4,,,,68.7,0.512,,15.9,,47.7,0.41,1.3,,0.0
Incarnate Word,,99.6,,,,71.9,0.494,,19.1,,50.7,0.397,-7.92,,0.0
Indiana,,104.2,,,,69.4,0.521,,15.5,,50.0,0.278,9.74,,0.0
Indiana State,,118.4,,,,71.4,0.6,,14.7,,52.6,0.496,2.26,,0.0
Iona,,104.9,,,,68.0,0.5,,13.0,,46.9,0.387,-5.95,,0.0
Iowa,,114.0,,,,72.6,0.528,,11.6,,48.9,0.299,9.26,,0.0
Iowa State,,110.9,,,,67.9,0.52,,13.3,,50.5,0.317,8.51,,0.0
IU Indy,,95.3,,,,68.8,0.469,,18.5,,47.0,0.251,-4.62,,0.0
Jackson State,,101.4,,,,70.0,0.47,,16.0,,50.7,0.338,-7.15,,0.0
Jacksonville,,104.4,,,,68.6,0.491,,16.1,,53.3,0.339,-4.87,,0.0
Jacksonville State,,104.0,,,,67.1,0.499,,17.1,,54.5,0.285,-3.14,,0.0
James Madison,,115.0,,,,71.6,0.544,,13.0,,53.2,0.378,-3.75,,0.0
Kansas,,107.7,,,,69.9,0.538,,14.9,,51.7,0.298,11.32,,0.0
Kansas City,,105.2,,,,67.3,0.498,,15.1,,52.9,0.426,-4.5,,0.0
Kansas State,,102.8,,,,68.4,0.502,,18.2,,51.9,0.412,9.97,,0.0
Kennesaw State,,109.0,,,,75.4,0.518,,13.7,,50.1,0.436,-5.84,,0.0
Kent State,,108.5,,,,67.7,0.511,,14.8,,51.0,0.391,-2.54,,0.0
Kentucky,,119.2,,,,73.9,0.572,,12.6,,50.5,0.375,7.46,,0.0
La Salle,,106.4,,,,67.3,0.499,,12.2,,48.0,0.397,0.85,,0.0
Lafayette,,94.7,,,,65.3,0.47,,15.5,,47.3,0.399,-6.01,,0.0
nan,,,,,,,,,,,,,,,0.0
Lamar,,108.7,,,,70.5,0.512,,15.4,,52.0,0.354,-8.28,,0.0
Le Moyne,,104.3,,,,69.2,0.514,,14.7,,47.2,0.477,-9.55,,0.0
Lehigh,,101.6,,,,69.9,0.5,,15.1,,49.7,0.378,-6.6,,0.0
Liberty,,111.0,,,,66.0,0.555,,13.9,,51.1,0.476,-1.56,,0.0
Lindenwood,,95.3,,,,68.1,0.446,,15.5,,46.8,0.305,-7.23,,0.0
Lipscomb,,115.3,,,,71.2,0.57,,12.7,,48.8,0.401,-5.04,,0.0
Little Rock,,109.8,,,,69.9,0.526,,15.1,,51.6,0.311,-8.24,,0.0
Long Beach State,,105.4,,,,72.9,0.487,,14.7,,52.0,0.285,-1.19,,0.0
Long Island University,,92.5,,,,71.3,0.464,,17.8,,48.0,0.299,-7.58,,0.0
Longwood,,108.5,,,,67.9,0.502,,15.4,,56.3,0.287,-4.76,,0.0
Louisiana,,107.8,,,,70.4,0.516,,14.5,,49.2,0.367,-2.67,,0.0
Louisiana State,,107.5,,,,70.7,0.522,,16.1,,50.4,0.376,6.75,,0.0
Louisiana Tech,,109.9,,,,67.5,0.52,,15.6,,54.2,0.351,-1.69,,0.0
Louisiana-Monroe,,100.7,,,,69.1,0.463,,15.1,,52.0,0.287,-2.44,,0.0
Louisville,,101.8,,,,70.4,0.484,,15.9,,49.8,0.312,7.51,,0.0
Loyola (IL),,104.7,,,,69.3,0.522,,16.1,,52.3,0.408,2.42,,0.0
Loyola (MD),,96.4,,,,65.7,0.482,,17.7,,51.1,0.388,-6.94,,0.0
Loyola Marymount,,109.0,,,,66.4,0.521,,14.0,,51.7,0.396,0.31,,0.0
Maine,,98.6,,,,68.1,0.485,,14.9,,48.0,0.321,-4.87,,0.0
Manhattan,,94.4,,,,69.2,0.474,,16.9,,46.5,0.388,-4.86,,0.0
nan,,,,,,,,,,,,,,,0.0
Marist,,98.6,,,,65.5,0.508,,16.8,,49.2,0.364,-8.09,,0.0
Marquette,,112.0,,,,69.4,0.55,,12.7,,47.8,0.411,11.02,,0.0
Marshall,,101.7,,,,72.5,0.472,,14.0,,50.3,0.411,-1.39,,0.0
Maryland,,103.0,,,,66.3,0.467,,14.9,,50.7,0.375,7.44,,0.0
Maryland-Baltimore County,,104.8,,,,74.7,0.528,,15.4,,48.3,0.348,-5.93,,0.0
Maryland-Eastern Shore,,94.2,,,,68.3,0.452,,17.2,,48.4,0.343,-6.33,,0.0
Massachusetts,,111.5,,,,69.2,0.506,,13.4,,53.0,0.351,0.88,,0.0
Massachusetts-Lowell,,109.4,,,,72.6,0.523,,15.7,,55.1,0.294,-6.07,,0.0
McNeese State,,118.3,,,,67.6,0.552,,12.3,,52.2,0.336,-6.81,,0.0
Memphis,,110.9,,,,72.0,0.528,,15.5,,50.3,0.389,4.25,,0.0
Mercer,,105.4,,,,67.5,0.502,,14.1,,49.5,0.31,-2.55,,0.0
Merrimack,,100.0,,,,68.6,0.505,,17.1,,45.2,0.429,-8.43,,0.0
Miami (FL),,107.9,,,,69.9,0.527,,15.0,,50.6,0.404,7.46,,0.0
Miami (OH),,102.6,,,,68.5,0.515,,15.3,,47.6,0.398,-4.08,,0.0
Michigan,,104.6,,,,68.9,0.512,,16.1,,50.4,0.38,11.34,,0.0
Michigan State,,109.4,,,,66.4,0.516,,13.0,,50.8,0.304,10.89,,0.0
Middle Tennessee,,96.5,,,,66.8,0.467,,17.7,,49.0,0.42,-0.52,,0.0
Milwaukee,,110.2,,,,70.9,0.509,,14.7,,52.0,0.392,-4.47,,0.0
Minnesota,,110.3,,,,67.7,0.541,,15.4,,51.5,0.391,6.4,,0.0
Mississippi,,109.3,,,,68.6,0.511,,13.6,,47.5,0.352,7.27,,0.0
nan,,,,,,,,,,,,,,,0.0
Mississippi State,,107.5,,,,68.7,0.514,,16.0,,53.9,0.385,9.16,,0.0
Mississippi Valley State,,83.4,,,,66.2,0.425,,21.0,,45.1,0.304,-3.91,,0.0
Missouri,,105.0,,,,68.4,0.502,,14.9,,45.5,0.397,7.3,,0.0
Missouri State,,102.6,,,,68.4,0.497,,15.2,,53.3,0.368,1.01,,0.0
Monmouth,,106.4,,,,68.1,0.493,,13.2,,48.9,0.363,-2.98,,0.0
Montana,,113.6,,,,67.2,0.552,,13.6,,51.1,0.373,-4.11,,0.0
Montana State,,106.4,,,,69.7,0.547,,15.1,,46.4,0.429,-4.46,,0.0
Morehead State,,113.7,,,,66.2,0.548,,15.2,,56.1,0.451,-5.52,,0.0
Morgan State,,100.6,,,,71.7,0.491,,17.5,,48.7,0.271,-5.9,,0.0
Mount St. Mary's,,103.7,,,,69.3,0.532,,18.2,,52.0,0.332,-7.45,,0.0
Murray State,,106.1,,,,65.5,0.503,,12.6,,49.6,0.354,1.59,,0.0
Navy,,100.8,,,,65.4,0.446,,13.1,,49.7,0.333,-9.54,,0.0
NC State,,109.1,,,,68.5,0.507,,12.1,,49.4,0.333,8.93,,0.0
Nebraska,,110.8,,,,69.4,0.531,,13.9,,50.2,0.443,7.53,,0.0
Nevada,,113.0,,,,66.9,0.535,,13.2,,51.3,0.336,4.58,,0.0
Nevada-Las Vegas,,109.5,,,,66.2,0.521,,14.3,,50.3,0.35,6.25,,0.0
New Hampshire,,100.7,,,,73.3,0.485,,14.5,,49.0,0.438,-3.61,,0.0
New Mexico,,111.7,,,,72.5,0.505,,11.7,,52.8,0.303,5.38,,0.0
New Mexico State,,97.5,,,,68.6,0.48,,15.3,,48.9,0.344,0.74,,0.0
New Orleans,,100.1,,,,73.2,0.462,,14.6,,46.4,0.291,-5.9,,0.0
nan,,,,,,,,,,,,,,,0.0
Niagara,,105.5,,,,67.9,0.527,,15.6,,49.2,0.314,-7.21,,0.0
Nicholls State,,105.5,,,,67.8,0.519,,16.6,,48.9,0.408,-5.37,,0.0
NJIT,,99.0,,,,68.6,0.454,,13.9,,47.9,0.396,-4.46,,0.0
Norfolk State,,108.7,,,,68.3,0.515,,15.3,,51.0,0.332,-7.76,,0.0
North Alabama,,109.2,,,,68.9,0.508,,12.7,,49.9,0.352,-5.0,,0.0
North Carolina,,114.6,,,,71.3,0.515,,12.0,,54.9,0.361,9.9,,0.0
North Carolina A&T,,96.4,,,,68.0,0.439,,12.1,,43.9,0.357,-3.94,,0.0
North Carolina Central,,109.9,,,,69.2,0.518,,14.7,,50.0,0.376,-8.84,,0.0
North Dakota,,110.4,,,,67.9,0.512,,12.7,,52.1,0.418,-6.1,,0.0
North Dakota State,,109.1,,,,66.6,0.545,,14.5,,51.7,0.364,-3.15,,0.0
North Florida,,111.1,,,,69.4,0.543,,14.3,,48.5,0.555,-4.84,,0.0
North Texas,,108.7,,,,63.2,0.508,,14.8,,51.5,0.395,4.28,,0.0
Northeastern,,105.5,,,,65.8,0.512,,16.4,,52.0,0.361,-3.15,,0.0
Northern Arizona,,98.7,,,,69.0,0.493,,16.1,,46.1,0.352,-4.17,,0.0
Northern Colorado,,110.1,,,,69.9,0.549,,13.9,,50.5,0.366,-5.25,,0.0
Northern Illinois,,103.7,,,,69.7,0.507,,15.7,,49.3,0.386,-1.37,,0.0
Northern Iowa,,107.3,,,,67.7,0.52,,13.5,,50.6,0.373,2.86,,0.0
Northern Kentucky,,105.8,,,,69.7,0.51,,15.2,,49.0,0.339,-3.73,,0.0
Northwestern,,111.2,,,,64.8,0.526,,11.8,,48.4,0.364,8.5,,0.0
Northwestern State,,100.2,,,,69.3,0.486,,16.3,,47.7,0.343,-6.32,,0.0
nan,,,,,,,,,,,,,,,0.0
Notre Dame,,97.6,,,,64.8,0.476,,16.7,,51.2,0.433,8.06,,0.0
Oakland,,110.5,,,,68.0,0.519,,13.8,,50.9,0.413,-1.24,,0.0
Ohio,,111.9,,,,68.3,0.527,,12.3,,49.0,0.416,-4.58,,0.0
Ohio State,,110.9,,,,67.4,0.51,,13.4,,51.9,0.346,8.37,,0.0
Oklahoma,,109.4,,,,68.4,0.531,,15.8,,52.7,0.385,8.07,,0.0
Oklahoma State,,103.2,,,,68.0,0.513,,16.5,,49.8,0.432,7.97,,0.0
Old Dominion,,98.8,,,,71.2,0.476,,13.4,,46.7,0.347,-1.58,,0.0
Omaha,,108.0,,,,68.0,0.506,,12.8,,49.9,0.337,-5.07,,0.0
Oral Roberts,,106.2,,,,68.6,0.517,,12.6,,46.2,0.428,-2.6,,0.0
Oregon,,109.6,,,,68.3,0.519,,12.9,,50.3,0.363,8.91,,0.0
Oregon State,,101.7,,,,66.2,0.499,,16.2,,48.8,0.342,8.38,,0.0
Pacific,,92.7,,,,69.3,0.469,,15.4,,41.9,0.365,-0.15,,0.0
Penn State,,106.1,,,,70.2,0.503,,13.8,,46.6,0.392,7.52,,0.0
Pennsylvania,,110.1,,,,66.5,0.534,,14.3,,51.7,0.436,0.26,,0.0
Pepperdine,,106.4,,,,68.4,0.51,,14.3,,50.8,0.324,0.7,,0.0
Pittsburgh,,112.9,,,,67.0,0.516,,11.5,,52.6,0.444,6.92,,0.0
Portland,,103.3,,,,69.0,0.514,,15.4,,48.2,0.445,1.54,,0.0
Portland State,,102.8,,,,69.4,0.476,,13.8,,50.0,0.375,-4.94,,0.0
Prairie View,,96.4,,,,72.8,0.461,,15.5,,45.2,0.267,-6.92,,0.0
Presbyterian,,107.7,,,,68.9,0.527,,14.4,,49.6,0.331,-5.57,,0.0
nan,,,,,,,,,,,,,,,0.0
Princeton,,117.1,,,,65.8,0.548,,11.0,,51.0,0.504,-1.6,,0.0
Providence,,104.7,,,,68.4,0.515,,15.5,,50.5,0.443,8.93,,0.0
Purdue,,119.5,,,,68.3,0.558,,14.0,,58.0,0.347,11.6,,0.0
Purdue Fort Wayne,,110.1,,,,72.3,0.544,,12.9,,46.9,0.422,-6.09,,0.0
Queens (NC),,108.7,,,,73.6,0.513,,13.5,,49.6,0.412,-3.49,,0.0
Quinnipiac,,107.2,,,,71.9,0.51,,15.0,,52.5,0.346,-7.32,,0.0
Radford,,109.1,,,,65.3,0.519,,14.2,,49.7,0.343,-3.47,,0.0
Rhode Island,,105.2,,,,69.0,0.517,,15.9,,51.7,0.333,2.87,,0.0
Rice,,105.4,,,,67.5,0.51,,14.8,,49.9,0.396,1.97,,0.0
Richmond,,106.2,,,,67.4,0.527,,11.8,,46.9,0.354,2.09,,0.0
Rider,,103.2,,,,69.1,0.483,,15.3,,51.9,0.281,-4.28,,0.0
Robert Morris,,104.1,,,,68.7,0.503,,16.9,,52.0,0.421,-4.31,,0.0
Rutgers,,95.0,,,,68.6,0.435,,14.1,,48.4,0.317,8.57,,0.0
Sacramento State,,102.4,,,,65.5,0.5,,18.8,,55.0,0.42,-3.71,,0.0
Sacred Heart,,105.4,,,,70.3,0.518,,14.6,,47.6,0.342,-9.45,,0.0
Saint Francis (PA),,97.3,,,,66.7,0.481,,17.5,,50.3,0.342,-8.14,,0.0
Saint Joseph's,,109.2,,,,68.6,0.53,,14.5,,50.5,0.478,1.67,,0.0
Saint Louis,,107.4,,,,69.8,0.52,,15.0,,48.9,0.376,4.15,,0.0
Saint Mary's (CA),,115.2,,,,63.8,0.531,,13.2,,58.8,0.365,3.46,,0.0
Saint Peter's,,98.8,,,,65.4,0.446,,16.0,,51.2,0.322,-5.33,,0.0
nan,,,,,,,,,,,,,,,0.0
Sam Houston,,103.2,,,,69.4,0.488,,16.1,,52.6,0.358,-1.72,,0.0
Samford,,115.7,,,,74.4,0.571,,15.3,,49.9,0.413,-3.23,,0.0
San Diego,,100.7,,,,72.0,0.488,,16.1,,47.7,0.342,0.33,,0.0
San Diego State,,108.7,,,,67.0,0.5,,14.0,,52.9,0.379,8.37,,0.0
San Francisco,,112.7,,,,68.5,0.558,,14.7,,52.9,0.404,0.23,,0.0
San Jose State,,104.0,,,,66.4,0.52,,14.0,,46.2,0.419,3.28,,0.0
Santa Clara,,109.8,,,,69.8,0.528,,15.6,,54.9,0.386,1.73,,0.0
Seattle,,105.5,,,,68.6,0.512,,15.9,,53.1,0.378,-1.64,,0.0
Seton Hall,,108.1,,,,67.4,0.504,,15.7,,53.4,0.312,8.8,,0.0
Siena,,90.0,,,,67.1,0.447,,20.0,,50.7,0.343,-5.2,,0.0
South Alabama,,103.8,,,,70.2,0.506,,14.3,,46.1,0.367,-3.37,,0.0
South Carolina,,110.4,,,,64.8,0.509,,13.2,,52.1,0.411,6.48,,0.0
South Carolina State,,99.0,,,,70.3,0.462,,17.8,,52.8,0.324,-6.18,,0.0
South Carolina Upstate,,102.4,,,,68.4,0.511,,14.7,,45.5,0.394,-3.02,,0.0
South Dakota,,107.3,,,,69.8,0.522,,15.8,,52.1,0.349,-5.41,,0.0
South Dakota State,,110.7,,,,68.6,0.555,,14.6,,51.4,0.406,-2.7,,0.0
South Florida,,109.8,,,,69.0,0.518,,13.7,,49.5,0.423,0.97,,0.0
Southeast Missouri State,,94.8,,,,70.4,0.465,,15.1,,46.8,0.341,-6.55,,0.0
Southeastern Louisiana,,102.3,,,,66.9,0.498,,17.7,,51.0,0.383,-6.14,,0.0
Southern,,99.8,,,,70.7,0.502,,17.6,,48.9,0.374,-6.09,,0.0
nan,,,,,,,,,,,,,,,0.0
Southern California,,104.8,,,,69.7,0.517,,15.7,,48.6,0.367,9.54,,0.0
Southern Illinois,,109.3,,,,65.4,0.529,,14.8,,50.8,0.436,0.52,,0.0
SIU Edwardsville,,105.6,,,,67.7,0.484,,13.5,,50.5,0.366,-7.54,,0.0
Southern Indiana,,98.1,,,,69.7,0.466,,16.5,,49.7,0.367,-5.59,,0.0
Southern Methodist,,111.5,,,,68.6,0.507,,13.5,,53.4,0.352,2.56,,0.0
Southern Mississippi,,100.6,,,,69.5,0.479,,16.0,,50.1,0.336,-2.93,,0.0
Southern Utah,,104.6,,,,71.4,0.493,,14.6,,47.5,0.349,-1.17,,0.0
St. Bonaventure,,110.0,,,,66.0,0.523,,14.2,,50.6,0.367,1.95,,0.0
St. John's (NY),,113.3,,,,69.6,0.509,,13.0,,53.6,0.325,9.58,,0.0
St. Thomas,,113.4,,,,63.9,0.553,,12.7,,50.0,0.454,-5.72,,0.0
Stanford,,106.1,,,,70.9,0.543,,16.1,,49.0,0.41,7.48,,0.0
Stephen F. Austin,,102.4,,,,71.5,0.503,,18.9,,52.2,0.321,-1.76,,0.0
Stetson,,113.4,,,,67.5,0.539,,13.6,,50.0,0.417,-3.24,,0.0
